OBJECTID;Lon;Lat
1;117,620500721000099;-0,577454970999952
2;117,613362338000115;-0,582808757999942
3;117,606223955000019;-0,588757410999960
4;117,599680437000075;-0,595300927999972
5;117,593136919000017;-0,600654715999951
6;117,584808806000069;-0,604223906999948
7;117,577670423000086;-0,605413637999959
8;117,567428797000048;-0,606143657999951
9;117,626998299000093;-0,572102708999978
10;117,633839249000061;-0,566748921999931
11;117,640085334000105;-0,561395134999941
12;117,643951958000116;-0,553364453999961
13;117,642167362000009;-0,545928637999964
14;117,639787901000091;-0,538790254999981
15;117,636218710000094;-0,531651871999941
16;117,633839249000061;-0,525703219999968
17;117,630270057000075;-0,519754566999950
18;117,627593164000018;-0,513805914999978
19;117,624916270000085;-0,507857261999959
20;117,621347079000088;-0,503098339999951
21;117,615100994000045;-0,500718878999976
22;117,607367745000033;-0,498934283999972
23;117,597552469000107;-0,498934283999972
24;117,590790102000028;-0,499426514999925
25;;
26;;
27;;
28;;
29;;
30;;
31;;
32;;
